paper_id,title,domain,mode,task_id_or_doc_id,url
paper_scv_4d2a46bafe,Auger Electron Spectroscopy Analysis of the Thermally Induced Degradation of MAPbI3 Perovskite Films,materials-science,sciverse_content_v1,74bec30aa4725ee313fb21c24a998259d852f21d7c1825f394724b802e7b613d,https://api.sciverse.space/content?doc_id=74bec30aa4725ee313fb21c24a998259d852f21d7c1825f394724b802e7b613d
paper_scv_4d7793b3f2,A chemical dynamics study on the gas-phase formation of triplet and singlet C5H2 carbenes,computational-chemistry,sciverse_content_v1,a14f9e54024cf559c2bbaa8ed8d06f6a5c8bdf822784cb1225d65ca4c7a659ed,https://api.sciverse.space/content?doc_id=a14f9e54024cf559c2bbaa8ed8d06f6a5c8bdf822784cb1225d65ca4c7a659ed
paper_scv_51d55ed377,"Hydrogen Generation, Storage and Utilization",computational-chemistry,sciverse_content_v1,8c411469b5659cb8fd823d460a0d1d6d6e0c14e143e03d4f36281ba7d06e1240,https://api.sciverse.space/content?doc_id=8c411469b5659cb8fd823d460a0d1d6d6e0c14e143e03d4f36281ba7d06e1240
paper_scv_5292b267ea,Emulating climate extreme indices,earth-science,sciverse_content_v1,a727d36914f12c9af745688ef0e04b2f00c6cdf13489950ac1f8353610dc59d2,https://api.sciverse.space/content?doc_id=a727d36914f12c9af745688ef0e04b2f00c6cdf13489950ac1f8353610dc59d2
paper_scv_576b84fcae,ARB: Advanced Reasoning Benchmark for Large Language Models,scientific-ml,sciverse_content_v1,b301933225e15894334486b4401458f95ecceffbca2956846083169f39a1cf45,https://api.sciverse.space/content?doc_id=b301933225e15894334486b4401458f95ecceffbca2956846083169f39a1cf45
paper_scv_598459403c,Feature-based Transferable Disruption Prediction for future tokamaks using domain adaptation,plasma-physics,sciverse_content_v1,6162748f87245f483e706969a935209209dc4c98acdc3923a677f35a50961606,https://api.sciverse.space/content?doc_id=6162748f87245f483e706969a935209209dc4c98acdc3923a677f35a50961606
paper_scv_599d424c5d,Evaluating Robustness of Generative Search Engine on Adversarial Factual Questions,scientific-ml,sciverse_content_v1,1be959fb4827219866577f9d47e6fd9327867dd890354a6a3d9d76fe81d2c7b8,https://api.sciverse.space/content?doc_id=1be959fb4827219866577f9d47e6fd9327867dd890354a6a3d9d76fe81d2c7b8
paper_scv_5adfe4eaeb,"Structural Biology in Drug Discovery: Methods, Techniques, and Practices",drug-discovery,sciverse_content_v1,0c501821e4c66471bfbd2089220bd6cfe7a3c5d2d36be1da0f43d45324929ecc,https://api.sciverse.space/content?doc_id=0c501821e4c66471bfbd2089220bd6cfe7a3c5d2d36be1da0f43d45324929ecc
paper_scv_5cca5c3361,Causal identification of single-cell experimental perturbation effects with CINEMA-OT,computational-biology,sciverse_content_v1,6f3e9429620929af6c9a5aeb797f0f695454595c55642cc805ff973d336e7a40,https://api.sciverse.space/content?doc_id=6f3e9429620929af6c9a5aeb797f0f695454595c55642cc805ff973d336e7a40
paper_scv_635069ec43,Iterative approach to computational enzyme design,protein-engineering,sciverse_content_v1,e8629d002f8feb5bbc7f31aac70810480d9131bc2fd410a373d49225badd728f,https://api.sciverse.space/content?doc_id=e8629d002f8feb5bbc7f31aac70810480d9131bc2fd410a373d49225badd728f
paper_scv_6598d9c479,Recent Advances in Energy Chemistry between Solid-State Electrolyte and Safe Lithium-Metal Anodes,materials-science,sciverse_content_v1,c1eb765db94b9a6cc91a3316dd4a7019ca080371b7db899fbf2aec2edd0aec12,https://api.sciverse.space/content?doc_id=c1eb765db94b9a6cc91a3316dd4a7019ca080371b7db899fbf2aec2edd0aec12
paper_scv_6a273c733f,REASONS: A benchmark for REtrieval and Automated citationS Of scieNtific Sentences using Public and Proprietary LLMs,scientific-ml,sciverse_content_v1,a94a860bd5c1686ec9a285d1a4f8a885e50ed3d5be845453c98a80d4313a7284,https://api.sciverse.space/content?doc_id=a94a860bd5c1686ec9a285d1a4f8a885e50ed3d5be845453c98a80d4313a7284
